,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
438,Laphroaig 10 Year Old,56.5,70,73.95
439,Smokehead Unfiltered,46,70,37.45
440,Caol Ila 18 Year Old,43,70,98.95
441,Laphroaig 10 Year Old,40,70,39.95
442,Ardbeg Wee Beastie,47.4,70,37.95
443,Kilchoman Sanaig,46,70,50.95
444,Lagavulin 9 Year Old,46,70,79.95
445,Bunnahabhain 18 Year Old,46.3,70,128
446,Laphroaig Quarter Cask,48,70,42.45
447,Black Friday 2022,53.2,70,94.95
448,Bunnahabhain 12 Year Old Cask Strength,56.6,70,76.95
449,Lagavulin 16 Year Old,43,70,81.75
450,Port Charlotte 10 Year Old,50,70,47.75
451,Kilchoman Machir Bay,46,70,41.95
452,Octomore Edition 13.1,59.2,70,141
453,Laphroaig 16 Year Old,48,70,89.95
454,Caol Ila 2013,57.3,70,69.95
455,Ardbeg Uigeadail,54.2,70,62.75
456,Bruichladdich Black Art 10.1,45.1,70,395
457,Octomore Edition 13.3,61.1,70,186
458,Bunnahabhain 12 Year Old,46.3,70,44.95
459,Caol Ila 12 Year Old,43,70,46.95
460,Classic Malts Coastal Collection,44.9,60,37.75
461,Ardbeg 10 Year Old,46,70,45.95
462,Laphroaig 10 Year Old,56.5,70,73.95
463,Smokehead Unfiltered,46,70,37.45
464,Caol Ila 18 Year Old,43,70,98.95
465,Laphroaig 10 Year Old,40,70,39.95
466,Ardbeg Wee Beastie,47.4,70,37.95
467,Kilchoman Sanaig,46,70,50.95
468,Lagavulin 9 Year Old,46,70,79.95
469,Bunnahabhain 18 Year Old,46.3,70,128
470,Laphroaig Quarter Cask,48,70,42.45
471,Personalised 10 Year Old Islay Scotch Whisky,52.6,70,79.95
472,Bunnahabhain Toiteach A Dha,46.3,70,46.45
473,Bowmore Classic Collection,42,60,57.95
474,Bunnahabhain Moine 2013,59.5,70,84.95
475,Bowmore 15 Year Old,43,70,62.95
476,Caol Ila 2014,59.1,70,52.95
477,Ardbeg An Oa,46.6,70,46.45
478,Bruichladdich Classic Laddie,50,70,45.45
479,Kilchoman 100% Islay,50,70,77.95
480,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.95
481,Laphroaig 10 Year Old,58.6,70,73.95
482,Caol Ila 13 Year Old,43,70,47.95
483,Lagavulin 8 Year Old,48,70,59.95
484,Bunnahabhain Abhainn Araig,50.8,70,94.95
485,Laphroaig PX Cask,48,100,99.95
486,Caol Ila 2010,58.2,70,120
487,Bunnahabhain An Cladach,50,100,59.95
488,Bowmore No.1,40,70,29.95
489,Cask Islay,46,70,32.95
490,Bunnahabhain Toiteach A Dha,46.3,20,16.75
491,Bowmore 12 Year Old,40,70,35.95
492,Port Charlotte MC:01 2009,56.3,70,99.95
493,Port Askaig 100° Proof,57.1,70,55.75
494,Laphroaig 10 Year Old,57.9,70,79.95
495,Mac-Talla Terra Classic Islay,46,70,45.45
496,Smokehead High Voltage,58,70,57.95
497,Bunnahabhain Staoisha 2014,46,70,41.75
498,Bruichladdich Islay Barley 2013,50,70,52.75
499,Caol Ila 12 Year Old,43,20,18.45
500,Caol Ila 2012,46,70,48.45
